adm1 identifier,report,log10 of population,surveillance quality,temperature suitability index,rainfall delayed by one month,interaction of the temperature suitability index and rainfall delayed by one month,EVI
AGO1,1,5.280772778,0.003025194,14.69142197,1.582208005,25.10476653,0.330466042
AGO10,0,5.967819924,0.003025194,7.748985582,2.247627315,18.1919488,0.284883457
AGO11,1,6.090646873,0.003025194,16.61100378,0.912745956,16.07176407,0.137728759
AGO12,0,5.514071661,0.003025194,9.15580597,3.212538568,26.61048081,0.378425118
AGO13,0,5.206133341,0.003025194,7.937317905,3.134503197,22.14848022,0.357564618
AGO14,0,5.988781747,0.003025194,8.29619539,2.6968927,20.48342869,0.378879485
AGO15,0,5.540703714,0.003025194,7.389467493,2.875861753,19.5143095,0.347773517
AGO16,0,5.17737049,0.003025194,17.04165655,0.680733017,13.89027047,0.137871434
AGO17,0,5.97810439,0.003025194,10.69131794,3.276095935,35.02013552,0.403546873
AGO18,0,5.401677403,0.003025194,14.40161266,2.374488287,36.02558885,0.329729246
AGO2,0,5.84372854,0.003025194,10.7395604,1.780700888,20.38481922,0.269352034
AGO3,0,6.093934877,0.003025194,5.259838146,2.961017914,14.34066613,0.344213386
AGO4,0,5.283286771,0.003025194,15.53619026,1.853998863,31.42946407,0.314808915
AGO5,0,5.132075328,0.003025194,10.00591544,2.284591325,23.43300382,0.295098915
AGO6,0,5.630973599,0.003025194,10.50603998,2.557768716,27.29964282,0.387578265
AGO7,0,5.842681418,0.003025194,7.591233506,2.602817955,20.19791802,0.366128624
AGO8,0,5.395609275,0.003025194,12.89023645,1.748784445,24.51192532,0.235751281
AGO9,0,6.224699481,0.003025194,4.223094148,3.155614797,13.02298205,0.315317722
BDI1,0,5.428566441,2.152947454,5.819534332,2.706397014,14.28819348,0.4167833
BDI10,0,5.667934143,2.152947454,5.574534111,2.3453211,11.92729112,0.335283693
BDI11,0,5.520688614,2.152947454,6.554127281,2.687375279,15.1903748,0.387014607
BDI12,0,5.359380236,2.152947454,4.218100677,2.632919424,9.725030402,0.385526696
BDI13,0,5.646384207,2.152947454,5.113635896,2.441909271,11.11859878,0.366621986
BDI14,0,5.325638372,2.152947454,4.73292792,2.561274007,10.62471167,0.371028971
BDI15,0,5.743935559,2.152947454,4.841599488,2.610262024,11.31734114,0.393534314
